Customer ID     Meter Reading  
999             9000,00        
1001            12131,00       
1002            11162,00       
1003            15283,00       
1004            12764,00       
1005            13740,00       
1006            7586,00        
1007            9457,00        
1008            12073,00       
1009            11204,00       
1010            10320,00       
1011            12491,00       
1012            12397,00       
1013            11463,00       
1014            12949,00       
1016            12466,00       
1017            10852,00       
1018            13523,00       
1019            8614,00        
1020            13025,00       
1021            11666,00       
1022            10902,00       
1023            12493,00       
1024            10264,00       
1025            11765,00       
1026            8376,00        
1027            14102,00       
1028            12233,00       
1029            12644,00       
1030            12330,00       
1031            10831,00       
1032            16032,00       
